"CloudletID","Priority","Status","vmID","vmSize","cloudletSize","waitingTimeSeconds","cloudletLength","cloudletCPUCores","StartTime","finishTime","exeTime"
"0","SUCCESS","0","0","32768","0","0.0","1365","2","12.199999999999973","17.49263448580969","5.292634485809716"
"1","SUCCESS","0","3","32768","0","0.0","1228","2","12.199999999999973","17.49263448580969","5.292634485809716"
"2","SUCCESS","0","6","32768","0","0.0","588","2","12.199999999999973","15.015919551702341","2.8159195517023683"
"3","SUCCESS","0","3","32768","0","0.0","1292","2","12.199999999999973","17.49263448580969","5.292634485809716"
"4","SUCCESS","0","4","32768","0","0.0","976","2","12.199999999999973","20.704256575091595","8.504256575091622"
"6","SUCCESS","0","4","32768","0","0.0","585","2","12.199999999999973","21.034256575091593","8.83425657509162"
"8","SUCCESS","0","3","32768","0","0.0","1345","2","12.199999999999973","17.49263448580969","5.292634485809716"
"10","SUCCESS","0","6","32768","0","0.0","1436","2","12.199999999999973","14.905919551702342","2.705919551702369"
"11","SUCCESS","0","3","32768","0","0.0","1311","2","12.199999999999973","17.49263448580969","5.292634485809716"
"12","SUCCESS","0","0","32768","0","0.0","1121","2","12.199999999999973","17.602634485809688","5.402634485809715"
"13","SUCCESS","0","0","32768","0","0.0","1371","2","12.199999999999973","17.49263448580969","5.292634485809716"
"15","SUCCESS","0","6","32768","0","0.0","1691","2","12.199999999999973","14.905919551702342","2.705919551702369"
"16","SUCCESS","0","9","32768","0","0.0","322","2","12.199999999999973","22.354256575091586","10.154256575091614"
"17","SUCCESS","0","9","32768","0","0.0","514","2","12.199999999999973","21.58425657509159","9.384256575091618"
"18","SUCCESS","0","4","32768","0","0.0","970","2","12.199999999999973","20.814256575091594","8.614256575091622"
"19","SUCCESS","0","4","32768","0","0.0","844","2","12.199999999999973","20.814256575091594","8.614256575091622"
"21","SUCCESS","0","9","32768","0","0.0","578","2","12.199999999999973","21.36425657509159","9.164256575091619"
"22","SUCCESS","0","4","32768","0","0.0","900","2","12.199999999999973","20.704256575091595","8.504256575091622"
"23","SUCCESS","0","9","32768","0","0.0","744","2","12.199999999999973","20.924256575091594","8.724256575091621"
"24","SUCCESS","0","9","32768","0","0.0","313","2","12.199999999999973","22.684256575091585","10.484256575091612"
"25","SUCCESS","0","9","32768","0","0.0","582","2","12.199999999999973","21.47425657509159","9.274256575091618"
"26","SUCCESS","0","4","32768","0","0.0","884","2","12.199999999999973","20.594256575091595","8.394256575091623"
"27","SUCCESS","0","6","32768","0","0.0","1424","2","12.199999999999973","14.905919551702342","2.705919551702369"
"28","SUCCESS","0","0","32768","0","0.0","1347","2","12.199999999999973","17.49263448580969","5.292634485809716"
"30","SUCCESS","0","9","32768","0","0.0","759","2","19.361380771411266","26.578943161302995","7.217562389891729"
"31","SUCCESS","0","6","32768","0","0.0","156","2","19.361380771411266","22.794256575091584","3.432875803680318"
"32","SUCCESS","0","0","32768","0","0.0","81","2","19.361380771411266","27.67894316130299","8.317562389891723"
"33","SUCCESS","0","6","32768","0","0.0","1252","2","19.361380771411266","22.024256575091588","2.662875803680322"
"35","SUCCESS","0","4","32768","0","0.0","447","2","19.361380771411266","24.73724815524388","5.375867383832613"
"36","SUCCESS","0","3","32768","0","0.0","368","2","19.361380771411266","23.71919364497692","4.357812873565653"
"37","SUCCESS","0","6","32768","0","0.0","1280","2","19.361380771411266","22.024256575091588","2.662875803680322"
"39","SUCCESS","0","1","32768","0","0.0","608","2","19.361380771411266","47.62113060042405","28.259749829012787"
"41","SUCCESS","0","0","32768","0","0.0","1179","2","19.361380771411266","23.49919364497692","4.137812873565654"
"42","SUCCESS","0","9","32768","0","0.0","977","2","19.361380771411266","26.468943161302995","7.107562389891729"
"43","SUCCESS","0","1","32768","0","0.0","870","2","19.361380771411266","44.54113060042407","25.179749829012803"
"44","SUCCESS","0","3","32768","0","0.0","1146","2","19.361380771411266","23.49919364497692","4.137812873565654"
"45","SUCCESS","0","1","32768","0","0.0","889","2","19.361380771411266","45.201130600424065","25.8397498290128"
"46","SUCCESS","0","4","32768","0","0.0","1136","2","19.361380771411266","24.40724815524388","5.045867383832615"
"47","SUCCESS","0","1","32768","0","0.0","386","2","19.361380771411266","55.531630600424016","36.17024982901275"
"48","SUCCESS","0","1","32768","0","0.0","733","2","19.361380771411266","47.73113060042405","28.369749829012786"
"49","SUCCESS","0","1","32768","0","0.0","737","2","19.361380771411266","47.73113060042405","28.369749829012786"
"50","SUCCESS","0","9","32768","0","0.0","980","2","19.361380771411266","26.468943161302995","7.107562389891729"
"52","SUCCESS","0","3","32768","0","0.0","1160","2","19.361380771411266","23.38919364497692","4.027812873565654"
"55","SUCCESS","0","0","32768","0","0.0","1192","2","19.361380771411266","23.38919364497692","4.027812873565654"
"56","SUCCESS","0","1","32768","0","0.0","690","2","19.361380771411266","46.52113060042406","27.159749829012792"
"57","SUCCESS","0","9","32768","0","0.0","1085","2","19.361380771411266","26.358943161302996","6.99756238989173"
"59","SUCCESS","0","4","32768","0","0.0","1108","2","19.361380771411266","24.40724815524388","5.045867383832615"
"60","SUCCESS","0","4","32768","0","0.0","658","2","28.414017540381725","35.411130600424116","6.997113060042391"
"62","SUCCESS","0","6","32768","0","0.0","1806","2","28.414017540381725","31.781130600424135","3.36711306004241"
"63","SUCCESS","0","0","32768","0","0.0","1063","2","28.414017540381725","33.761130600424124","5.3471130600424"
"64","SUCCESS","0","4","32768","0","0.0","984","2","28.414017540381725","35.19113060042412","6.777113060042392"
