"timestamp","cloudletId","priority","cpuRequest","ramRequest","status","startTime","vmID","MIPS","cpuUsage","ramUsage","totalRam","numberRunningCloudlets","mode"
"22.235775546272187","34","0","0.0015912108129808589","13.784635655238025","INEXEC","14.699999999999964","0","8000.0","0.16575551484751405","3997.0","4096.0","6","submitting"
"22.235775546272187","44","0","0.21668141073073885","21.479239681431526","INEXEC","14.699999999999964","0","8000.0","0.16575551484751405","3997.0","4096.0","6","submitting"
"22.235775546272187","46","0","0.2163209578778555","17.41037006338529","INEXEC","14.699999999999964","0","8000.0","0.16575551484751405","3997.0","4096.0","6","submitting"
"22.235775546272187","52","0","0.22203726088076442","15.168390282979876","INEXEC","14.699999999999964","0","8000.0","0.16575551484751405","3997.0","4096.0","6","submitting"
"22.235775546272187","56","0","0.12745034133486718","16.47046600857701","INEXEC","14.699999999999964","0","8000.0","0.16575551484751405","3997.0","4096.0","6","submitting"
"22.235775546272187","59","0","0.21045190744787762","17.93363897120087","INEXEC","14.699999999999964","0","8000.0","0.16575551484751405","3997.0","4096.0","6","submitting"
"22.235775546272187","54","0","0.05","0.65","INEXEC","14.699999999999964","1","4000.0","0.025","8012.0","8012.0","1","submitting"
"22.235775546272187","53","0","0.02","0.24","INEXEC","14.699999999999964","2","4000.0","0.01","4096.0","4096.0","1","submitting"
"22.235775546272187","32","0","0.008016450941463471","10.802370178784102","INEXEC","14.699999999999964","3","8000.0","0.1421477473478546","3990.0","4096.0","7","submitting"
"22.235775546272187","35","0","0.0806556896959179","12.256823609060191","INEXEC","14.699999999999964","3","8000.0","0.1421477473478546","3990.0","4096.0","7","submitting"
"22.235775546272187","42","0","0.18389688028804974","19.13929981280987","INEXEC","14.699999999999964","3","8000.0","0.1421477473478546","3990.0","4096.0","7","submitting"
"22.235775546272187","43","0","0.16382156903992204","15.804379468162942","INEXEC","14.699999999999964","3","8000.0","0.1421477473478546","3990.0","4096.0","7","submitting"
"22.235775546272187","45","0","0.16742871918672717","16.295540637735588","INEXEC","14.699999999999964","3","8000.0","0.1421477473478546","3990.0","4096.0","7","submitting"
"22.235775546272187","50","0","0.1837588542820574","20.81949837315205","INEXEC","14.699999999999964","3","8000.0","0.1421477473478546","3990.0","4096.0","7","submitting"
"22.235775546272187","57","0","0.2074560680008444","14.013825767104148","INEXEC","14.699999999999964","3","8000.0","0.1421477473478546","3990.0","4096.0","7","submitting"
"22.235775546272187","30","0","0.14002118105876185","19.880649980385048","INEXEC","14.699999999999964","4","8000.0","0.10252878896130883","7922.0","8012.0","6","submitting"
"22.235775546272187","31","0","0.021685748822883183","14.03532832921468","INEXEC","14.699999999999964","4","8000.0","0.10252878896130883","7922.0","8012.0","6","submitting"
"22.235775546272187","39","0","0.11049837844789062","17.993733508989823","INEXEC","14.699999999999964","4","8000.0","0.10252878896130883","7922.0","8012.0","6","submitting"
"22.235775546272187","47","0","0.07117473974123878","5.548723627370551","INEXEC","14.699999999999964","4","8000.0","0.10252878896130883","7922.0","8012.0","6","submitting"
"22.235775546272187","48","0","0.13547121405111473","18.11575702409206","INEXEC","14.699999999999964","4","8000.0","0.10252878896130883","7922.0","8012.0","6","submitting"
"22.235775546272187","49","0","0.13632147164596384","17.714208633989085","INEXEC","14.699999999999964","4","8000.0","0.10252878896130883","7922.0","8012.0","6","submitting"
"22.235775546272187","51","0","0.07","0.84","INEXEC","14.699999999999964","5","4000.0","0.035","12288.0","12288.0","1","submitting"
"22.235775546272187","38","0","0.07","0.51","INEXEC","14.699999999999964","7","4000.0","0.035","12288.0","12288.0","1","submitting"
"22.235775546272187","58","0","0.02","0.68","INEXEC","14.699999999999964","8","4000.0","0.01","4096.0","4096.0","1","submitting"
"22.235775546272187","40","0","0.07","0.42","INEXEC","14.699999999999964","9","8000.0","0.035","8012.0","8012.0","1","submitting"
"23.012142898248744","34","0","0.0015912108129808589","13.784635655238025","INEXEC","14.699999999999964","0","8000.0","7.956054064904294E-4","4067.0","4096.0","1","scheduling"
"23.012142898248744","54","0","0.05","0.65","INEXEC","14.699999999999964","1","4000.0","0.025","8012.0","8012.0","1","scheduling"
"23.012142898248744","53","0","0.02","0.24","INEXEC","14.699999999999964","2","4000.0","0.01","4096.0","4096.0","1","scheduling"
"23.012142898248744","32","0","0.008016450941463471","10.802370178784102","INEXEC","14.699999999999964","3","8000.0","0.1421477473478546","3990.0","4096.0","7","scheduling"
"23.012142898248744","35","0","0.0806556896959179","12.256823609060191","INEXEC","14.699999999999964","3","8000.0","0.1421477473478546","3990.0","4096.0","7","scheduling"
"23.012142898248744","42","0","0.18389688028804974","19.13929981280987","INEXEC","14.699999999999964","3","8000.0","0.1421477473478546","3990.0","4096.0","7","scheduling"
"23.012142898248744","43","0","0.16382156903992204","15.804379468162942","INEXEC","14.699999999999964","3","8000.0","0.1421477473478546","3990.0","4096.0","7","scheduling"
"23.012142898248744","45","0","0.16742871918672717","16.295540637735588","INEXEC","14.699999999999964","3","8000.0","0.1421477473478546","3990.0","4096.0","7","scheduling"
"23.012142898248744","50","0","0.1837588542820574","20.81949837315205","INEXEC","14.699999999999964","3","8000.0","0.1421477473478546","3990.0","4096.0","7","scheduling"
"23.012142898248744","57","0","0.2074560680008444","14.013825767104148","INEXEC","14.699999999999964","3","8000.0","0.1421477473478546","3990.0","4096.0","7","scheduling"
"23.012142898248744","30","0","0.14002118105876185","19.880649980385048","INEXEC","14.699999999999964","4","8000.0","0.10252878896130883","7922.0","8012.0","6","scheduling"
