"CloudletID","Status","vmID","vmSize","cloudletSize","waitingTimeSeconds","cloudletLength","cloudletCPUCores","StartTime","finishTime","exeTime"
"0","SUCCESS","9","32768","0","0.0","19600","2","46.000000000000384","163.13647058823577","117.13647058823538"
"1","SUCCESS","9","32768","0","0.0","19600","2","46.000000000000384","173.43980392156868","127.4398039215683"
"2","SUCCESS","4","32768","0","0.0","17400","2","46.000000000000384","587.9101562500222","541.9101562500218"
"3","SUCCESS","1","32768","0","0.0","12200","2","46.000000000000384","79.59095238095239","33.590952380952004"
"4","SUCCESS","2","32768","0","0.0","8400","2","46.000000000000384","101.87092592592592","55.87092592592553"
"5","SUCCESS","0","32768","0","0.0","19200","2","46.000000000000384","116.00999999999999","70.00999999999961"
"6","SUCCESS","3","32768","0","0.0","9400","2","46.000000000000384","61.27329787234043","15.273297872340045"
"7","SUCCESS","9","32768","0","0.0","3800","2","46.000000000000384","66.54740740740739","20.547407407407007"
"8","SUCCESS","4","32768","0","0.0","2400","2","46.000000000000384","58.85157894736842","12.851578947368033"
"9","SUCCESS","2","32768","0","0.0","18000","2","46.000000000000384","78.55744897959184","32.557448979591456"
"10","SUCCESS","7","32768","0","0.0","17000","2","46.000000000000384","84.24867924528301","38.24867924528263"
"11","SUCCESS","3","32768","0","0.0","6600","2","46.000000000000384","72.85282608695653","26.852826086956142"
"12","SUCCESS","9","32768","0","0.0","12800","2","46.000000000000384","81.27483516483517","35.27483516483478"
"13","SUCCESS","6","32768","0","0.0","600","2","46.000000000000384","53.35666666666666","7.356666666666278"
"14","SUCCESS","1","32768","0","0.0","18200","2","46.000000000000384","1599.3401562495453","1553.3401562495449"
"15","SUCCESS","5","32768","0","0.0","18600","2","46.000000000000384","232.19217391304434","186.19217391304397"
"16","SUCCESS","1","32768","0","0.0","13200","2","46.000000000000384","115.35","69.34999999999961"
"17","SUCCESS","7","32768","0","0.0","5600","2","46.000000000000384","73.55782608695652","27.55782608695614"
"18","SUCCESS","8","32768","0","0.0","4800","2","46.000000000000384","2732.6701562499297","2686.6701562499293"
"19","SUCCESS","7","32768","0","0.0","11800","2","46.000000000000384","83.00867924528302","37.008679245282636"
"20","SUCCESS","2","32768","0","0.0","10800","2","46.000000000000384","76.54703703703704","30.54703703703666"
"21","SUCCESS","5","32768","0","0.0","11200","2","46.000000000000384","97.4144262295082","51.41442622950781"
"22","SUCCESS","6","32768","0","0.0","2800","2","46.000000000000384","53.35666666666666","7.356666666666278"
"23","SUCCESS","9","32768","0","0.0","200","2","46.000000000000384","46.65794520547946","0.6579452054790735"
"24","SUCCESS","2","32768","0","0.0","5800","2","46.000000000000384","145.41472527472624","99.41472527472585"
"25","SUCCESS","5","32768","0","0.0","15000","2","46.000000000000384","6659.560156243877","6613.560156243877"
"26","SUCCESS","6","32768","0","0.0","3000","2","46.000000000000384","59.181578947368415","13.181578947368031"
"27","SUCCESS","5","32768","0","0.0","2600","2","46.000000000000384","65.5874074074074","19.587407407407014"
"28","SUCCESS","3","32768","0","0.0","14800","2","46.000000000000384","67.87882352941176","21.878823529411378"
"29","SUCCESS","8","32768","0","0.0","4600","2","46.000000000000384","58.01913793103448","12.019137931034095"
"30","SUCCESS","1","32768","0","0.0","10600","2","46.000000000000384","140.3547252747256","94.35472527472523"
"31","SUCCESS","5","32768","0","0.0","4200","2","46.000000000000384","59.071578947368415","13.071578947368032"
"32","SUCCESS","1","32768","0","0.0","19800","2","46.000000000000384","156.5386363636365","110.53863636363612"
"33","SUCCESS","7","32768","0","0.0","7800","2","46.000000000000384","68.20882352941176","22.208823529411376"
"34","SUCCESS","1","32768","0","0.0","9200","2","46.000000000000384","98.93064516129031","52.93064516128993"
"35","SUCCESS","1","32768","0","0.0","19000","2","46.000000000000384","162.25647058823566","116.25647058823527"
"36","SUCCESS","1","32768","0","0.0","5800","2","46.000000000000384","59.791578947368414","13.79157894736803"
"37","SUCCESS","2","32768","0","0.0","18400","2","46.000000000000384","272.86826086956654","226.86826086956614"
"38","SUCCESS","6","32768","0","0.0","3600","2","46.000000000000384","66.32740740740739","20.32740740740701"
"39","SUCCESS","4","32768","0","0.0","9400","2","46.000000000000384","107.76249999999999","61.762499999999605"
