execution_time,delay_time
1.532999999999994,0s
25.52539215686265,0s
0.655000000000058,0s
1.980344137655088,0s
6.816000000000827,0s
6.260000000000758,0s
11.432038499610428,0s
8.350000000001017,0s
0.8700000000000898,0s
14.18203849961077,0s
10.22000000000125,0s
4.400000000000546,0s
3.5032160864345627,0s
0.9920000000000222,0s
1.21000000000015,0s
8.13000000000099,0s
6.610392156862748,0s
5.270000000000636,0s
3.29600000000039,0s
4.504999999999974,0s
0.3230000000000004,0s
2.850000000000336,0s
9.784999999999949,0s
5.71600000000069,0s
3.833216086434561,0s
9.673000000001196,0s
11.78039215686272,0s
7.912038499610375,0s
8.680000000001058,0s
7.140000000000867,0s
5.822038499610386,0s
0.9920000000000222,0s
8.352038499610373,0s
0.9849999999999924,0s
3.3960000000003845,0s
4.833000000000595,0s
10.909831932773107,0s
4.836000000000581,0s
1.7560000000001992,0s
0.8700000000000898,0s
9.560000000001168,0s
0.7720000000000233,0s
0.5400000000000489,0s
4.394999999999975,0s
3.5032160864345627,0s
2.083000000000254,0s
3.292038499610399,0s
3.0700000000003627,0s
1.536000000000172,0s
2.1919504643963137,0s
1.0930000000001314,0s
17.75100840336136,0s
6.263000000000773,0s
9.23300000000114,0s
2.5300000000003138,0s
15.942038499610987,0s
5.813216086434551,0s
1.4260000000001585,0s
1.3160000000001446,0s
2.1860000000002344,0s
3.516000000000417,0s
4.05321608643456,0s
6.820000000000846,0s
6.93000000000086,0s
2.4129999999999896,0s
8.572038499610372,0s
9.122038499610367,0s
3.63000000000045,0s
7.692038499610376,0s
2.960000000000349,0s
4.062038499610395,0s
5.266000000000616,0s
1.4229999999999947,0s
3.074999999999981,0s
5.930000000000717,0s
1.3149999999999906,0s
8.243000000001018,0s
4.823216086434556,0s
1.3100000000001444,0s
11.21499999999994,0s
2.0829999999999917,0s
2.52500000000029,0s
3.52034413765508,0s
4.950000000000614,0s
9.562038499610368,0s
14.18203849961077,0s
2.296000000000248,0s
5.382038499610388,0s
2.746000000000322,0s
0.6460000000000434,0s
1.9760000000002265,0s
1.090000000000117,0s
7.473000000000923,0s
1.212000000000021,0s
16.60203849961107,0s
15.300392156862706,0s
5.822038499610386,0s
7.582038499610377,0s
10.79983193277311,0s
1.0930000000001314,0s
1.0930000000001314,0s
1.5350000000001671,0s
8.900000000001086,0s
4.282038499610394,0s
0.9800000000001036,0s
11.316000000001369,0s
2.856000000000336,0s
5.280000000000655,0s
2.6330000000003224,0s
2.1960000000002537,0s
6.1460000000007255,0s
6.490000000000805,0s
7.256000000000881,0s
27.39539215686264,0s
2.5230000000003088,0s
2.6330000000003224,0s
1.4229999999999947,0s
3.075000000000358,0s
