,FCFS,Worstfit,Balancing Algo
count,65.0,1224.0,1225.0
mean,10.62591917639262,6.367460811776425,5.442065306123084
std,54.22273473026295,33.31601497093901,27.39708925800825
min,0.3130000000000024,0.1230000000000011,0.2179999999999999
25%,1.4859999999999935,2.090000000000259,2.0899999999999466
50%,2.3629999999999995,3.520000000000437,3.410000000000423
75%,3.5729999999999933,5.610000000000696,5.500000000000682
max,429.9205602240928,616.3520720288872,640.3930000000786
