"timestamp","cloudletId","priority","cpuRequest","ramRequest","status","startTime","vmID","MIPS","cpuUsage","ramUsage","totalRam","numberRunningCloudlets"
"13.015919551702341","0","0","0.2620119832070593","17.48425372068434","INEXEC","10.19999999999998","0","8000.0","0.24940280580530766","4029.0","4096.0","4"
"13.015919551702341","12","0","0.21304184304172527","18.38072885857282","INEXEC","10.19999999999998","0","8000.0","0.24940280580530766","4029.0","4096.0","4"
"13.015919551702341","13","0","0.26441319629683285","14.81933629222363","INEXEC","10.19999999999998","0","8000.0","0.24940280580530766","4029.0","4096.0","4"
"13.015919551702341","28","0","0.2581442006756133","18.45426929658029","INEXEC","10.19999999999998","0","8000.0","0.24940280580530766","4029.0","4096.0","4"
"13.015919551702341","5","0","0.06","0.76","INEXEC","10.19999999999998","1","4000.0","0.03","8012.0","8012.0","1"
"13.015919551702341","9","0","0.04","0.29","INEXEC","10.19999999999998","2","4000.0","0.035","4096.0","4096.0","2"
"13.015919551702341","29","0","0.03","0.44","INEXEC","10.19999999999998","2","4000.0","0.035","4096.0","4096.0","2"
"13.015919551702341","1","0","0.23613193813505545","13.973251222125178","INEXEC","10.19999999999998","3","8000.0","0.24828738146496926","4032.0","4096.0","4"
"13.015919551702341","3","0","0.24718246854684453","18.18824758573826","INEXEC","10.19999999999998","3","8000.0","0.24828738146496926","4032.0","4096.0","4"
"13.015919551702341","8","0","0.25723201964410863","19.547706534622787","INEXEC","10.19999999999998","3","8000.0","0.24828738146496926","4032.0","4096.0","4"
"13.015919551702341","11","0","0.25260309953386845","14.419264555668084","INEXEC","10.19999999999998","3","8000.0","0.24828738146496926","4032.0","4096.0","4"
"13.015919551702341","4","0","0.18559777936734784","14.433959279281662","INEXEC","10.19999999999998","4","8000.0","0.16218664025476348","7926.0","8012.0","6"
"13.015919551702341","6","0","0.10700357062395924","15.16713615512782","INEXEC","10.19999999999998","4","8000.0","0.16218664025476348","7926.0","8012.0","6"
"13.015919551702341","18","0","0.18302208918585697","17.76565555705281","INEXEC","10.19999999999998","4","8000.0","0.16218664025476348","7926.0","8012.0","6"
"13.015919551702341","19","0","0.1583522156946349","16.18349852393342","INEXEC","10.19999999999998","4","8000.0","0.16218664025476348","7926.0","8012.0","6"
"13.015919551702341","22","0","0.17081047071717262","13.246476725351929","INEXEC","10.19999999999998","4","8000.0","0.16218664025476348","7926.0","8012.0","6"
"13.015919551702341","26","0","0.1683337159396095","11.54958112186247","INEXEC","10.19999999999998","4","8000.0","0.16218664025476348","7926.0","8012.0","6"
"13.015919551702341","14","0","0.09","0.39","INEXEC","10.19999999999998","5","4000.0","0.045","12288.0","12288.0","1"
"13.015919551702341","2","0","0.10522211567115661","21.427555039530684","INEXEC","10.19999999999998","6","16000.0","0.052611057835578304","12199.0","12288.0","1"
"13.015919551702341","7","0","0.08","0.24","INEXEC","10.19999999999998","7","4000.0","0.04","12288.0","12288.0","1"
"13.015919551702341","20","0","0.05","0.66","INEXEC","10.19999999999998","8","4000.0","0.025","4096.0","4096.0","1"
"13.015919551702341","16","0","0.05463737587041627","14.784523769119224","INEXEC","10.19999999999998","9","8000.0","0.09284651565672615","7939.0","8012.0","6"
"13.015919551702341","17","0","0.09406716921725713","12.068219821190835","INEXEC","10.19999999999998","9","8000.0","0.09284651565672615","7939.0","8012.0","6"
"13.015919551702341","21","0","0.10725228343854157","11.348000821578106","INEXEC","10.19999999999998","9","8000.0","0.09284651565672615","7939.0","8012.0","6"
"13.015919551702341","23","0","0.14027958339062507","11.588831165440855","INEXEC","10.19999999999998","9","8000.0","0.09284651565672615","7939.0","8012.0","6"
"13.015919551702341","24","0","0.05355061812372158","12.986134156172657","INEXEC","10.19999999999998","9","8000.0","0.09284651565672615","7939.0","8012.0","6"
"13.015919551702341","25","0","0.10729206389979538","13.145961342819337","INEXEC","10.19999999999998","9","8000.0","0.09284651565672615","7939.0","8012.0","6"
"15.257829822267274","0","0","0.2620119832070593","17.48425372068434","INEXEC","10.19999999999998","0","8000.0","0.24940280580530766","4029.0","4096.0","4"
"15.257829822267274","12","0","0.21304184304172527","18.38072885857282","INEXEC","10.19999999999998","0","8000.0","0.24940280580530766","4029.0","4096.0","4"
"15.257829822267274","13","0","0.26441319629683285","14.81933629222363","INEXEC","10.19999999999998","0","8000.0","0.24940280580530766","4029.0","4096.0","4"
"15.257829822267274","28","0","0.2581442006756133","18.45426929658029","INEXEC","10.19999999999998","0","8000.0","0.24940280580530766","4029.0","4096.0","4"
"15.257829822267274","5","0","0.06","0.76","INEXEC","10.19999999999998","1","4000.0","0.03","8012.0","8012.0","1"
"15.257829822267274","9","0","0.04","0.29","INEXEC","10.19999999999998","2","4000.0","0.035","4096.0","4096.0","2"
"15.257829822267274","29","0","0.03","0.44","INEXEC","10.19999999999998","2","4000.0","0.035","4096.0","4096.0","2"
"15.257829822267274","1","0","0.23613193813505545","13.973251222125178","INEXEC","10.19999999999998","3","8000.0","0.24828738146496926","4032.0","4096.0","4"
"15.257829822267274","3","0","0.24718246854684453","18.18824758573826","INEXEC","10.19999999999998","3","8000.0","0.24828738146496926","4032.0","4096.0","4"
"15.257829822267274","8","0","0.25723201964410863","19.547706534622787","INEXEC","10.19999999999998","3","8000.0","0.24828738146496926","4032.0","4096.0","4"
"15.257829822267274","11","0","0.25260309953386845","14.419264555668084","INEXEC","10.19999999999998","3","8000.0","0.24828738146496926","4032.0","4096.0","4"
"15.257829822267274","4","0","0.18559777936734784","14.433959279281662","INEXEC","10.19999999999998","4","8000.0","0.16218664025476348","7926.0","8012.0","6"
