queueId,cloudletId,vmID,duration,priority,cpuRequest,MIPS,numberRunningCloudlets,status
0,0,0,5.292634485809716,0,0.2620119832070593,2000.0,21.06582907550562,1
0,0,0,1.7825632469676762,0,0.2620119832070593,8000.0,4.0,0
0,1,3,5.292634485809716,0,0.2361319381350554,2000.0,20.06582907550562,1
0,1,3,1.7825632469676762,0,0.2361319381350554,8000.0,4.0,0
0,2,6,2.8159195517023665,0,0.1052221156711566,4000.0,20.882809152058158,1
0,2,6,1.7825632469676762,0,0.1052221156711566,16000.0,4.0,0
0,3,3,5.292634485809716,0,0.2471824685468445,2000.0,18.533784106359867,1
0,3,3,1.7825632469676762,0,0.2471824685468445,8000.0,4.0,0
0,4,4,9.134914080146428,0,0.1855977793673478,2000.0,19.45422991379585,1
0,4,4,1.7825632469676762,0,0.1855977793673478,8000.0,6.0,0
0,4,4,7.16138077141129,0,0.1855977793673478,8000.0,6.0,0
0,6,4,9.794914080146425,0,0.1070035706239592,2000.0,18.90652670993359,1
0,6,4,1.7825632469676762,0,0.1070035706239592,8000.0,6.0,0
0,6,4,7.16138077141129,0,0.1070035706239592,8000.0,6.0,0
0,8,3,5.292634485809716,0,0.2572320196441086,2000.0,15.533784106359871,1
0,8,3,1.7825632469676762,0,0.2572320196441086,8000.0,4.0,0
0,10,6,2.705919551702369,0,0.2764098451023802,4000.0,15.999999999999995,1
0,10,6,1.7825632469676762,0,0.2764098451023802,16000.0,4.0,0
0,11,3,5.292634485809716,0,0.2526030995338684,2000.0,14.022522737573246,1
0,11,3,1.7825632469676762,0,0.2526030995338684,8000.0,4.0,0
0,12,0,5.402634485809715,0,0.2130418430417252,2000.0,12.96098285328044,1
0,12,0,1.7825632469676762,0,0.2130418430417252,8000.0,4.0,0
0,13,0,5.292634485809716,0,0.2644131962968328,2000.0,12.022522737573247,1
0,13,0,1.7825632469676762,0,0.2644131962968328,8000.0,4.0,0
0,15,6,2.705919551702369,0,0.3232321921871707,4000.0,12.0,1
0,15,6,1.7825632469676762,0,0.3232321921871707,16000.0,4.0,0
0,16,9,10.564914080146417,0,0.0546373758704162,2000.0,15.678358791603822,1
0,16,9,1.7825632469676762,0,0.0546373758704162,8000.0,6.0,0
0,16,9,7.16138077141129,0,0.0546373758704162,8000.0,6.0,0
0,17,9,9.684914080146422,0,0.0940671692172571,2000.0,14.103955733677621,1
0,17,9,1.7825632469676762,0,0.0940671692172571,8000.0,6.0,0
0,17,9,7.16138077141129,0,0.0940671692172571,8000.0,6.0,0
0,18,4,9.134914080146428,0,0.1830220891858569,2000.0,12.532212606084537,1
0,18,4,1.7825632469676762,0,0.1830220891858569,8000.0,6.0,0
0,18,4,7.16138077141129,0,0.1830220891858569,8000.0,6.0,0
0,19,4,9.354914080146427,0,0.1583522156946349,2000.0,11.837176735334642,1
0,19,4,1.7825632469676762,0,0.1583522156946349,8000.0,6.0,0
0,19,4,7.16138077141129,0,0.1583522156946349,8000.0,6.0,0
0,21,9,9.354914080146427,0,0.1072522834385415,2000.0,10.83717673533464,1
0,21,9,1.7825632469676762,0,0.1072522834385415,8000.0,6.0,0
0,21,9,7.16138077141129,0,0.1072522834385415,8000.0,6.0,0
0,22,4,9.244914080146428,0,0.1708104707171726,2000.0,9.692458185490423,1
0,22,4,1.7825632469676762,0,0.1708104707171726,8000.0,6.0,0
0,22,4,7.16138077141129,0,0.1708104707171726,8000.0,6.0,0
0,23,9,8.914914080146426,0,0.140279583390625,2000.0,8.187519073534979,1
0,23,9,1.7825632469676762,0,0.140279583390625,8000.0,6.0,0
0,23,9,7.16138077141129,0,0.140279583390625,8000.0,6.0,0
0,24,9,10.784914080146416,0,0.0535506181237215,2000.0,9.643666534297106,1
0,24,9,1.7825632469676762,0,0.0535506181237215,8000.0,6.0,0
0,24,9,7.16138077141129,0,0.0535506181237215,8000.0,6.0,0
0,25,9,9.464914080146427,0,0.1072920638997953,2000.0,7.059884574123657,1
0,25,9,1.7825632469676762,0,0.1072920638997953,8000.0,6.0,0
0,25,9,7.16138077141129,0,0.1072920638997953,8000.0,6.0,0
0,26,4,9.024914080146429,0,0.1683337159396095,2000.0,5.380249207746179,1
0,26,4,1.7825632469676762,0,0.1683337159396095,8000.0,6.0,0
0,26,4,7.16138077141129,0,0.1683337159396095,8000.0,6.0,0
0,27,6,2.705919551702369,0,0.2710110570665918,4000.0,1.0,1
0,27,6,1.7825632469676762,0,0.2710110570665918,16000.0,4.0,0
0,28,0,5.292634485809716,0,0.2581442006756133,2000.0,1.0,1
0,28,0,1.7825632469676762,0,0.2581442006756133,8000.0,4.0,0
1,30,4,16.44121550891969,0,0.1400211810587618,2000.0,20.197543294601243,1
1,30,4,3.733533308735126,0,0.1400211810587618,8000.0,7.0,0
1,30,4,7.784806972261222,0,0.1400211810587618,8000.0,7.0,0
1,30,4,13.801215508919704,0,0.1400211810587618,8000.0,18.0,0
1,31,9,10.611215508919717,0,0.0216857488228831,2000.0,20.17685404357153,1
1,31,9,3.733533308735126,0,0.0216857488228831,8000.0,5.0,0
1,31,9,7.784806972261222,0,0.0216857488228831,8000.0,5.0,0
1,33,0,6.650943352659716,0,0.2391656644263678,2000.0,18.21403479675794,1
1,33,0,3.733533308735126,0,0.2391656644263678,8000.0,5.0,0
1,35,9,9.008432858813688,0,0.0806556896959179,2000.0,17.580416767971265,1
1,35,9,3.733533308735126,0,0.0806556896959179,8000.0,5.0,0
1,35,9,7.784806972261222,0,0.0806556896959179,8000.0,5.0,0
1,36,0,7.090943352659714,0,0.0646400247012415,2000.0,15.750884106188455,1
