"CloudletID","Priority","Status","vmID","vmSize","vmMIPS","cloudletSize","waitingTimeSeconds","cloudletLength","cpuRequest","memoryRequest","cloudletCPUCores","StartTime","finishTime","exeTime"
"0","0","SUCCESS","0","32768","2000.0","0","0.0","156","0.04065","0.02069","2","14.199999999999966","16.939999999999994","2.7400000000000286"
"1","0","SUCCESS","9","32768","2000.0","0","0.0","156","0.04065","0.02069","2","14.199999999999966","18.919999999999984","4.720000000000018"
"2","0","SUCCESS","3","32768","2000.0","0","0.0","156","0.04065","0.02069","2","14.199999999999966","18.149999999999988","3.9500000000000224"
"3","0","SUCCESS","1","32768","1000.0","0","0.0","156","0.04065","0.02069","2","14.199999999999966","19.90999999999998","5.710000000000013"
"6","0","SUCCESS","4","32768","2000.0","0","0.0","66701","0.2505","0.001554","2","14.199999999999966","168.16900000000456","153.9690000000046"
"7","0","SUCCESS","5","32768","1000.0","0","0.0","169","0.2505","0.001554","2","14.199999999999966","14.987999999999964","0.7879999999999985"
"8","0","SUCCESS","6","32768","4000.0","0","0.0","169","0.2505","0.001554","2","14.199999999999966","14.465999999999966","0.266"
"9","0","SUCCESS","7","32768","1000.0","0","0.0","36","0.0625","0.1184","2","14.199999999999966","15.572","1.3720000000000336"
"10","0","SUCCESS","0","32768","2000.0","0","0.0","36","0.0625","0.1184","2","14.199999999999966","14.877999999999965","0.677999999999999"
"11","0","SUCCESS","1","32768","1000.0","0","0.0","36","0.0625","0.1184","2","14.199999999999966","15.572","1.3720000000000336"
"18","0","SUCCESS","3","32768","2000.0","0","0.0","83","0.0625","0.06213","2","14.199999999999966","16.06","1.8600000000000332"
"19","0","SUCCESS","0","32768","2000.0","0","0.0","83","0.0625","0.06213","2","14.199999999999966","15.462","1.2620000000000342"
"20","0","SUCCESS","1","32768","1000.0","0","0.0","83","0.0625","0.06213","2","14.199999999999966","16.829999999999995","2.630000000000029"
"21","0","SUCCESS","7","32768","1000.0","0","0.0","101","0.0625","0.06213","2","14.199999999999966","17.379999999999992","3.1800000000000264"
"22","0","SUCCESS","2","32768","1000.0","0","0.0","101","0.0625","0.06213","2","14.199999999999966","19.68999999999998","5.490000000000014"
"23","0","SUCCESS","3","32768","2000.0","0","0.0","101","0.0625","0.06213","2","14.199999999999966","16.389999999999997","2.1900000000000315"
"24","0","SUCCESS","9","32768","2000.0","0","0.0","101","0.0625","0.06213","2","14.199999999999966","16.499999999999996","2.300000000000031"
