"num_cloudlets","solve_time"
"31","3.020990495"
"17","3.001440511"
"46","3.005220263"
"29","3.000672062"
"23","3.004552206"
"25","3.000625423"
"23","3.000797492"
"24","3.000499889"
"21","3.000429452"
"29","3.000500131"
"22","3.000390348"
"29","3.001654946"
"14","3.000521947"
"27","3.000476582"
"26","3.000475179"
"21","3.000417726"
"17","3.000357945"
"21","3.000455827"
"27","3.000419075"
"17","3.000328781"
"25","3.000392593"
"24","3.000455454"
"23","3.000416755"
"25","3.000975849"
"22","3.000215337"
"21","3.000305229"
"16","3.000766704"
"27","3.000196482"
"22","3.000304156"
"16","3.000165369"
"37","3.000287119"
"24","3.000165276"
"24","3.001921843"
"33","3.000240362"
"27","3.000189272"
"22","3.000146656"
"29","3.00019357"
"28","3.00018349"
"25","3.000176129"
"18","3.000171274"
"22","3.000234887"
"39","3.00025832"
"17","3.000127944"
"31","3.000192428"
"28","3.00018504"
"22","3.000172458"
"18","3.000135883"
"21","3.000166868"
"25","3.000172889"
"16","3.000144855"
"22","3.000165652"
"16","3.000419198"
"28","3.000177413"
"26","3.000174529"
"18","3.000169215"
"22","3.000259449"
"17","3.000392155"
"29","3.000409492"
"23","3.000186044"
"20","3.000224943"
"24","3.000429025"
"19","3.000494394"
"22","3.000204444"
"25","3.000559338"
"30","3.000223428"
"29","3.000225698"
"31","3.000225198"
"20","3.000208734"
"23","3.000230823"
"25","3.000209385"
"24","3.000227599"
"24","3.00039958"
"24","3.000232517"
"25","3.00022634"
"33","3.000294836"
"12","3.00018871"
"30","3.000206795"
"23","3.000235776"
"21","3.00022202"
"22","3.000274927"
"17","3.000379501"
"22","3.000257735"
"25","3.000313069"
"22","3.00022781"
"24","3.000264758"
"26","3.000386964"
"16","3.000300377"
"19","3.000241153"
"24","3.000293441"
"19","3.000267637"
"29","3.000296614"
"19","3.000511886"
"29","3.000622774"
"28","3.000343344"
"26","3.000331098"
"30","3.000392511"
"24","3.000413852"
"26","3.000308993"
"26","3.000536286"
"22","3.000298067"
"22","3.000291297"
"25","3.000355341"
"19","3.000295736"
"29","3.000321915"
"22","3.000306628"
"27","3.000338231"
"32","3.000290939"
"29","3.000295934"
"25","3.000423814"
