"CloudletID","Priority","Status","vmID","vmSize","vmMIPS","cloudletSize","waitingTimeSeconds","cloudletLength","cpuRequest","memoryRequest","cloudletCPUCores","StartTime","finishTime","exeTime"
"0","0","SUCCESS","0","32768","2000.0","0","0.0","156","0.04065","0.02069","2","11.199999999999976","13.939999999999994","2.740000000000018"
"1","0","SUCCESS","9","32768","2000.0","0","0.0","156","0.04065","0.02069","2","11.199999999999976","15.919999999999984","4.720000000000008"
"2","0","SUCCESS","3","32768","2000.0","0","0.0","156","0.04065","0.02069","2","11.199999999999976","15.149999999999988","3.9500000000000117"
"3","0","SUCCESS","1","32768","1000.0","0","0.0","156","0.04065","0.02069","2","11.199999999999976","16.90999999999998","5.710000000000003"
"6","0","SUCCESS","4","32768","2000.0","0","0.0","66701","0.2505","0.001554","2","11.199999999999976","150.81200000000064","139.61200000000065"
"7","0","SUCCESS","5","32768","1000.0","0","0.0","169","0.2505","0.001554","2","11.199999999999976","11.987999999999975","0.7879999999999985"
"8","0","SUCCESS","6","32768","4000.0","0","0.0","169","0.2505","0.001554","2","11.199999999999976","11.465999999999976","0.266"
"9","0","SUCCESS","7","32768","1000.0","0","0.0","36","0.0625","0.1184","2","11.199999999999976","12.572","1.372000000000023"
"10","0","SUCCESS","0","32768","2000.0","0","0.0","36","0.0625","0.1184","2","11.199999999999976","11.877999999999975","0.677999999999999"
"11","0","SUCCESS","1","32768","1000.0","0","0.0","36","0.0625","0.1184","2","11.199999999999976","12.572","1.372000000000023"
"18","0","SUCCESS","3","32768","2000.0","0","0.0","83","0.0625","0.06213","2","11.199999999999976","13.059999999999999","1.8600000000000225"
"19","0","SUCCESS","0","32768","2000.0","0","0.0","83","0.0625","0.06213","2","11.199999999999976","12.462","1.2620000000000235"
"20","0","SUCCESS","1","32768","1000.0","0","0.0","83","0.0625","0.06213","2","11.199999999999976","13.829999999999995","2.6300000000000185"
"21","0","SUCCESS","7","32768","1000.0","0","0.0","101","0.0625","0.06213","2","11.199999999999976","14.379999999999992","3.1800000000000157"
"22","0","SUCCESS","2","32768","1000.0","0","0.0","101","0.0625","0.06213","2","11.199999999999976","16.68999999999998","5.490000000000004"
"23","0","SUCCESS","3","32768","2000.0","0","0.0","101","0.0625","0.06213","2","11.199999999999976","13.389999999999997","2.190000000000021"
"24","0","SUCCESS","9","32768","2000.0","0","0.0","101","0.0625","0.06213","2","11.199999999999976","13.499999999999996","2.3000000000000203"
"25","0","SUCCESS","0","32768","2000.0","0","0.0","184","0.0625","0.06213","2","11.199999999999976","13.389999999999997","2.190000000000021"
"26","0","SUCCESS","1","32768","1000.0","0","0.0","184","0.0625","0.06213","2","11.199999999999976","15.699999999999985","4.500000000000009"
"27","0","SUCCESS","7","32768","1000.0","0","0.0","184","0.0625","0.06213","2","11.199999999999976","15.919999999999984","4.720000000000008"
"28","0","SUCCESS","9","32768","2000.0","0","0.0","190","0.0625","0.06213","2","11.199999999999976","15.149999999999988","3.9500000000000117"
"29","0","SUCCESS","2","32768","1000.0","0","0.0","190","0.0625","0.06213","2","11.199999999999976","19.773999999999994","8.574000000000018"
"30","0","SUCCESS","3","32768","2000.0","0","0.0","190","0.0625","0.06213","2","11.199999999999976","14.489999999999991","3.290000000000015"
"59","0","SUCCESS","0","32768","2000.0","0","0.0","161","0.0625","0.06213","2","36.238999999999976","38.51399999999999","2.275000000000013"
"60","0","SUCCESS","1","32768","1000.0","0","0.0","161","0.0625","0.06213","2","36.238999999999976","41.54199999999997","5.302999999999997"
"61","0","SUCCESS","5","32768","1000.0","0","0.0","161","0.0625","0.06213","2","36.238999999999976","41.101999999999975","4.8629999999999995"
"62","0","SUCCESS","6","32768","4000.0","0","0.0","161","0.0625","0.06213","2","36.238999999999976","37.413999999999994","1.1750000000000185"
