"num_cloudlets","solve_time"
"31","0.01193764"
"24","0.001164963"
"23","5.89293E-4"
"75","0.001663165"
"41","7.17188E-4"
"149","0.002542301"
"26","4.15393E-4"
"25","4.45572E-4"
"22","3.4968E-4"
"12","2.3579E-4"
"30","2.97256E-4"
"21","2.46488E-4"
"20","3.17906E-4"
"26","3.71782E-4"
"21","2.53667E-4"
"23","2.96067E-4"
"24","2.68126E-4"
"24","1.80818E-4"
"18","1.35034E-4"
"24","2.79794E-4"
"20","2.3247E-4"
"22","1.76693E-4"
"24","2.97107E-4"
"34","2.3531E-4"
"21","2.46013E-4"
"23","2.24668E-4"
"33","4.23287E-4"
"28","1.72049E-4"
"28","2.72941E-4"
"28","1.97667E-4"
"24","1.91553E-4"
"23","1.73348E-4"
"20","2.03796E-4"
"30","2.23057E-4"
"25","3.66487E-4"
"26","3.2919E-4"
"27","3.31892E-4"
"28","4.61571E-4"
"21","1.54398E-4"
"20","1.82553E-4"
"24","2.39455E-4"
"15","1.57969E-4"
"23","1.70003E-4"
"19","1.74426E-4"
"20","1.53986E-4"
"29","2.07418E-4"
"22","1.7727E-4"
"20","1.62719E-4"
"19","2.02417E-4"
"23","4.29798E-4"
"21","1.86815E-4"
"27","3.80158E-4"
"25","2.18625E-4"
"18","2.09649E-4"
"23","2.52299E-4"
"21","3.55701E-4"
"27","2.06206E-4"
"27","2.27424E-4"
"27","4.27754E-4"
"33","2.213E-4"
"21","2.50911E-4"
"29","2.32117E-4"
"21","1.86843E-4"
"22","2.35911E-4"
"24","2.46231E-4"
"22","2.02705E-4"
"28","2.63027E-4"
"25","2.40898E-4"
"17","2.29436E-4"
"28","2.48002E-4"
"26","3.29639E-4"
"19","2.24671E-4"
"23","4.32983E-4"
"16","2.40362E-4"
"23","3.23401E-4"
"25","3.2036E-4"
"20","2.28476E-4"
"25","3.04642E-4"
"21","4.0217E-4"
"20","3.3388E-4"
"26","2.7396E-4"
"18","2.44475E-4"
"20","2.75532E-4"
"31","2.91088E-4"
"19","2.87911E-4"
"29","3.04112E-4"
"25","2.97446E-4"
"36","3.51339E-4"
"23","2.78236E-4"
"20","3.06318E-4"
"25","3.499E-4"
"29","3.22824E-4"
"23","4.42571E-4"
"25","2.85314E-4"
"21","3.32494E-4"
"25","3.50247E-4"
"24","7.76683E-4"
"28","6.28335E-4"
"29","4.34329E-4"
"26","3.34205E-4"
"23","3.48049E-4"
