"num_cloudlets","solve_time"
"31","1.011878777"
"28","1.001408383"
"25","1.000557638"
"69","1.001221806"
"41","1.002273949"
"154","1.003768915"
"24","1.000419622"
"24","1.000463827"
"23","1.000379154"
"12","1.000483368"
"29","1.000462708"
"19","1.000710179"
"24","1.000282342"
"26","1.000442271"
"17","1.000241339"
"26","1.00538641"
"24","1.000370573"
"23","1.000255868"
"16","1.000228447"
"28","1.000328032"
"20","1.000403388"
"21","1.000303228"
"24","1.00028663"
"31","1.000199102"
"24","1.000172762"
"24","1.00019592"
"33","1.000249383"
"28","1.000366346"
"29","1.000398273"
"25","1.000171388"
"22","1.000163961"
"23","1.000176766"
"20","1.00028736"
"34","1.000205913"
"24","1.000289246"
"23","1.000220856"
"29","1.000256929"
"26","1.000182886"
"21","1.000307373"
"23","1.000189126"
"21","1.000261152"
"19","1.000231358"
"19","1.000222637"
"21","1.000173367"
"20","1.000231776"
"27","1.00018821"
"22","1.000206945"
"23","1.000185316"
"16","1.000174402"
"26","1.000197207"
"23","1.000177089"
"22","1.000402792"
"27","1.000782238"
"16","1.000294927"
"23","1.00021643"
"25","1.000216292"
"23","1.000396218"
"29","1.00033126"
"27","1.000574181"
"31","1.000254031"
"27","1.000192267"
"23","1.000199102"
"25","1.000390505"
"22","1.000357812"
"24","1.000202903"
"22","1.000203871"
"27","1.000254798"
"22","1.000396493"
"21","1.000291887"
"26","1.000278501"
"24","1.000261722"
"21","1.000252849"
"21","1.000255206"
"16","1.000264217"
"26","1.00026287"
"26","1.000314075"
"18","1.000285657"
"23","1.00027542"
"25","1.000363056"
"18","1.00030312"
"27","1.000376611"
"15","1.000254807"
"22","1.000284136"
"29","1.000352708"
"19","1.000279182"
"31","1.000345155"
"26","1.000380054"
"36","1.000347483"
"20","1.000317279"
"25","1.00034306"
"26","1.000504837"
"27","1.000598929"
"19","1.00037135"
"25","1.000353658"
"21","1.000621328"
"25","1.000559559"
"24","1.000459735"
"28","1.000350663"
"29","1.000376039"
"30","1.000325898"
"23","1.000458928"
