cloudletId,cpuRequest,count,cpu_log,prob
0,0.2620119832070593,1,-1.3393650388354406,0.5
1,0.2361319381350554,1,-1.4433645702779871,0.5
2,0.1052221156711566,1,-2.2516817757617145,0.5
3,0.2471824685468445,1,-1.3976284760314948,0.5
4,0.1855977793673478,2,-1.6841734233171963,0.3333333333333333
6,0.1070035706239592,2,-2.234893074759632,0.3333333333333333
8,0.2572320196441086,1,-1.3577768011942541,0.5
11,0.2526030995338684,1,-1.3759357986189842,0.5
12,0.2130418430417252,1,-1.5462666863604586,0.5
13,0.2644131962968328,1,-1.3302422618989787,0.5
16,0.0546373758704162,2,-2.907037090670532,0.3333333333333333
17,0.0940671692172571,2,-2.36374618575193,0.3333333333333333
18,0.1830220891858569,2,-1.698148427491447,0.3333333333333333
19,0.1583522156946349,2,-1.8429335137074119,0.3333333333333333
21,0.1072522834385415,2,-2.232571430598405,0.3333333333333333
22,0.1708104707171726,2,-1.7672006955419681,0.3333333333333333
23,0.140279583390625,2,-1.9641178235561367,0.3333333333333333
24,0.0535506181237215,2,-2.9271279392283596,0.3333333333333333
25,0.1072920638997953,2,-2.2322005938720757,0.3333333333333333
26,0.1683337159396095,2,-1.7818068654688988,0.3333333333333333
28,0.2581442006756133,1,-1.3542369328493065,0.5
30,0.1400211810587618,1,-1.9659615745396364,0.5
39,0.1104983784478906,1,-2.202754432811727,0.5
42,0.1838968802880497,1,-1.6933801116916674,0.5
43,0.163821569039922,1,-1.8089774371116993,0.5
44,0.2166814107307388,1,-1.5293271575493412,0.5
45,0.1674287191867271,1,-1.7871975753863,0.5
46,0.2163209578778555,1,-1.5309920580777285,0.5
48,0.1354712140511147,1,-1.998996103658668,0.5
49,0.1363214716459638,1,-1.9927394204344335,0.5
50,0.1837588542820574,1,-1.6941309554811066,0.5
52,0.2220372608807644,1,-1.5049100693884725,0.5
56,0.1274503413348671,1,-2.060028469977117,0.5
57,0.2074560680008444,1,-1.5728356822051868,0.5
59,0.2104519074478776,1,-1.5584981201436359,0.5
60,0.1199677634444667,2,-2.1205322102525095,0.3333333333333333
63,0.2023386334650177,1,-1.5978125818843218,0.5
64,0.187328817572344,2,-1.6748898235328058,0.3333333333333333
65,0.1939793855934125,2,-1.640003385392555,0.3333333333333333
66,0.0535270319685145,2,-2.9275684822467793,0.3333333333333333
67,0.2068742762631371,1,-1.5756440312828526,0.5
